Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini,
Northern America,"257,211","235,154","58,477",4.2,22.4,36,37.4,100,79.9,
Canada,"26,123","225,896","94,700",10,10.3,31,48.7,100,68.3,
United States of America,"231,001","236,213","47,771",3.5,23.8,36.5,36.2,100,80.9,
Europe,"579,535","106,731","84,110",12.1,28.4,35.3,24.2,100,79.9,
Albania,"2,136","9,343","3,846",22.2,54.6,22.2,0.9,100,68,
Austria,"6,648","180,392","86,946",0.2,10,44.1,45.7,100,64.6,
Belarus,"7,573","6,071","2,830",26.6,58.5,14.6,0.3,100,64.8,
Belgium,"8,266","211,013","92,263",0.1,9.5,42.9,47.5,100,67,
Bosnia and Herzegovina,"2,963","10,733","4,350",21.1,51.3,26.6,1,100,67.8,
Bulgaria,"6,085","15,861","7,252",13.3,46.7,38.3,1.7,100,65.5,
Croatia,"3,492","25,243","11,528",8,37.8,50.7,3.4,100,65.1,
Cyprus,661,"86,478","45,189",0.8,17.4,57.6,24.2,100,61.3,
Czech Republic,"8,335","31,845","15,975",4,32.5,58.6,4.9,100,62.5,
Denmark,"4,139","204,703","10,900",30.1,19.9,18.7,31.3,100,84,
Estonia,"1,057","18,564","6,599",16.6,44.5,36.5,2.4,100,71.9,
Finland,"4,126","151,572","104,615",9.9,10.1,28.8,51.2,100,57.8,
France,"47,397","255,156","66,521",0.3,10.5,49.4,39.7,100,75.8,
Germany,"66,842","164,561","59,077",13.1,14.6,30.4,41.9,100,68.4,
Greece,"9,039","99,413","42,576",1.4,19.6,52.4,26.7,100,66.4,
Hungary,"7,906","26,612","12,140",7.7,36.8,51.4,4,100,65.3,
Iceland,239,"207,666","95,026",,10.4,39.6,50,100,62.9,
Ireland,"3,353","151,196","90,025",10,10,36.1,44,100,58.9,
Italy,"48,679","226,423","115,182",0,3,41.4,55.5,100,62.6,
Latvia,"1,797","10,844","4,208",21.2,52.4,25.3,1.1,100,69.2,
Lithuania,"2,551","16,017","6,423",16.7,45.3,36.1,2,100,68.5,
Luxembourg,375,"234,972","111,631",,6.7,40,53.3,100,62.6,
"Macedonia, FYR","1,531","12,098","3,984",23.2,50.3,25.2,1.3,100,72.7,
Malta,321,"74,350","31,224",1.6,25,53.1,20.3,100,65.8,
Moldova,"2,690","2,534",993,50.2,45.9,3.7,0.2,100,68.8,
Montenegro,463,"19,952","8,941",12.9,39.8,44.1,3.2,100,65.2,
Netherlands,"12,698","148,856","68,522",0.3,12,47.7,40,100,64.3,
Norway,"3,616","326,530","157,239",1.5,8.4,26.1,63.9,100,66.2,
Poland,"29,970","28,620","12,127",8.3,36.4,50.4,4.9,100,66.8,
Portugal,"8,540","86,133","33,380",1.8,22.9,54.3,21.1,100,68.7,
Romania,"16,782","12,350","5,484",17.8,50,31.1,1.2,100,65.9,
Russian Federation,"111,199","10,408","3,692",24,51.4,23.5,1.1,100,70.6,
Serbia,"7,475","9,908","4,636",19.3,54,26,0.7,100,64.5,
Slovakia,"4,230","21,365","8,057",13.5,42.3,40.9,3.3,100,69.5,
Slovenia,"1,640","60,048","24,853",3,25.9,58.2,12.8,100,68.1,
Spain,"36,344","101,799","67,611",1.1,18,47.9,32.9,100,56.5,
Sweden,"7,136","243,506","29,211",3.1,24.7,44.7,27.5,100,85.3,
Switzerland,"5,987","372,692","41,547",,17.5,51.4,31.1,100,88.1,
Ukraine,"36,327","2,731","1,296",42.5,53.4,4,0.1,100,64,
United Kingdom,"47,188","229,940","78,765",0.3,12.2,40.9,46.6,100,71.7,
