Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini
Albania,"2,170","10,628","5,271",24.5,46.5,28.2,0.8,100,65.4
Austria,"6,687","194,207","88,112",0,19.7,37.9,42.4,100,69
Belarus,"7,572","4,646","2,447",30.1,57.6,12.2,0.1,100,63.7
Belgium,"8,309","275,524","133,572",0,14,26.1,59.9,100,66.3
Bosnia and Herzegovina,"2,973","12,675","5,934",24.6,42.1,32.1,1.1,100,66.5
Bulgaria,"6,058","15,055","7,933",20,40.5,38.1,1.4,100,63.9
Croatia,"3,495","26,832","14,112",13.5,26.5,56,4,100,63.8
Cyprus,672,"130,152","46,249",0,23.8,56.3,20,100,75
Czech Republic,"8,379","40,817","14,472",12.6,27.4,53.6,6.4,100,74.7
Denmark,"4,154","239,057","25,692",35.3,9.3,18,37.5,100,111.2
Estonia,"1,058","34,621","16,619",13,27,53.3,6.7,100,66.5
Finland,"4,150","174,895","86,286",0,19.8,38.5,41.8,100,66.3
France,"47,655","293,685","90,271",0.5,14.9,35.8,48.8,100,75.4
Germany,"66,958","199,783","57,283",13.9,14.2,30.9,41.1,100,75
Greece,"9,063","105,843","43,571",1.6,25.3,48.3,24.8,100,70.3
Hungary,"7,910","30,860","15,892",12.6,26.8,55.6,5.1,100,64.2
Iceland,244,"219,711","106,702",8.8,8.8,32.5,50,100,66.6
Ireland,"3,403","181,434","100,351",0.6,21.8,27.9,49.7,100,71.6
Italy,"48,852","259,826","155,953",0.4,10.3,27.7,61.6,100,61.3
Latvia,"1,796","22,558","10,570",19.4,28.1,49.2,3.3,100,66.6
Lithuania,"2,547","25,239","12,045",16.3,28.7,51,4,100,66.4
Luxembourg,380,"313,162","164,720",0,10,28.8,61.3,100,62.9
"Macedonia, FYR","1,542","14,017","5,781",23.6,43.6,31.2,1.6,100,69.4
Malta,324,"84,296","42,653",10,15,50,25,100,66.7
Moldova,"2,693","3,481","1,605",39.6,53.6,6.7,0.1,100,67.1
Montenegro,465,"21,986","10,462",21.3,26.3,49.3,3.3,100,66.9
Netherlands,"12,771","186,449","66,056",12.5,8.7,39,39.8,100,81.2
Norway,"3,656","355,925","87,377",3.1,16.9,33.3,46.7,100,77.7
Poland,"30,087","27,410","9,486",20,32.5,43.6,3.9,100,74.9
Portugal,"8,569","93,043","34,904",2.1,27.9,50,20,100,72.3
Romania,"16,775","17,599","5,871",24.5,44,29.4,2.1,100,76
Russian Federation,"111,103","10,911","1,130",47.5,44.4,7.3,0.8,100,91.6
Serbia,"7,498","10,346","5,458",24.5,46.2,28.7,0.7,100,63.5
Slovakia,"4,257","24,771","13,549",12.9,27.1,56.7,3.3,100,62.6
Slovenia,"1,646","66,942","34,216",2.5,27.5,50,20,100,64.6
Spain,"36,648","130,179","71,797",0.1,18.5,45.2,36.3,100,63.4
Sweden,"7,190","284,146","43,297",1.4,19.4,45.7,33.4,100,81.9
Switzerland,"6,024","540,010","100,901",0,4.7,45.2,50.2,100,80.4
Ukraine,"36,223","3,384",497,73.3,23.8,2.6,0.3,100,88.9
United Kingdom,"47,538","257,881","121,852",7.1,7.8,29.9,55.2,100,67
Armenia,"2,224","5,784","3,000",30,52.7,17.1,0.2,100,64.4
Australia,"16,206","396,745","221,704",0,5.5,24,70.5,100,62.6
Azerbaijan,"6,040","17,260","10,430",14.3,30.7,53.5,1.5,100,59.5
Bahrain,540,"41,466","24,301",1.3,26.3,64,8.5,100,58.1
Bangladesh,"99,352","1,924",959,52.5,45.1,2.4,0,100,65
Brunei Darussalam,271,"51,529","29,482",1.3,21.3,65,12.5,100,58.1
Cambodia,"8,585","2,429",946,52.5,42.9,4.5,0,100,70.5
"China, Taiwan","18,239","160,882","57,347",1.2,23.8,43.5,31.5,100,74.4
Fiji,510,"5,664","2,326",32.5,52.5,14.7,0.3,100,70.1
Georgia,"3,177","16,623","7,209",22.7,39,36.2,2.1,100,68.4
"Hong Kong SAR, China","5,870","139,507","28,602",10.3,20.3,49.3,20,100,83.9
Indonesia,"152,683","12,109","2,718",28.2,51.8,18.5,1.5,100,81.2
Iran,"51,143","8,617","3,916",30,50,19.4,0.6,100,67.5
Israel,"4,784","195,953","60,385",1.7,23.3,41.1,33.9,100,77.3
Japan,"104,266","248,770","128,688",0,5,35.7,59.3,100,60.1
Jordan,"3,701","18,867","8,573",20,37.8,39.5,2.8,100,67.5
Kazakhstan,"10,745","8,488","1,538",39.6,51.3,8.3,0.8,100,86.3
"Korea, Rep.","37,563","76,621","32,257",0.4,19.9,65,14.7,100,68
Kuwait,"2,187","134,592","54,236",0,13,58,29,100,69.4
Kyrgyz Republic,"3,429","4,518","2,109",30.9,57.9,11,0.1,100,65.9
Lao PDR,"3,406","4,107","2,024",32.6,58.3,8.9,0.1,100,65.4
Lebanon,"2,858","37,795","8,107",30,30.4,35.1,4.6,100,85.8
Malaysia,"17,548","29,363","7,679",21,39.2,36,3.8,100,80.4
Maldives,197,"5,596","3,717",30,53.8,16,0.2,100,67.1
