Country,Adults,Mean Wealth Per Adult,Median Wealth Per Adult,"Under 10,000","10,000-100,000","100,000-1 million",Over 1 million,Total,Gini,,,,,,,,,,,,,,,,
Albania,"2,204","9,689","4,863",72.3,27,0. 7,0. 0,100,65.7,,,,,,,,,,,,,,,,
Algeria,"23,438","10,305","5,040",71.2,28,0. 8,0. 0,100,65.6,,,,,,,,,,,,,,,,
Argentina,"27,884","17,629","4,993",69.4,28.5,2. 0,0. 1,100,78.2,,,,,,,,,,,,,,,,
Armenia,"2,244","5,587","2,969",87.7,12.1,0. 2,0. 0,100,63.9,,,,,,,,,,,,,,,,
Australia,"16,412","354,986","193,653",8. 8,24.8,60.9,5. 5,100,63.6,,,,,,,,,,,,,,,,
Austria,"6,725","178,724","81,649",20,38.8,39.2,2. 0,100,69.3,,,,,,,,,,,,,,,,
Azerbaijan,"6,161","14,360","7,248",61.8,36.8,1. 3,0. 0,100,65.2,,,,,,,,,,,,,,,,
Bahamas,237,"39,425","18,150",40,51.5,8. 4,0. 1,100,66.4,,,,,,,,,,,,,,,,
Bahrain,556,"44,324","25,092",25,2765.1,9. 8,0. 1,100,59.1,,,,,,,,,,,,,,,,
Bangladesh,"101,751","1,719",883,98.5,11,0. 0,0. 0,100,64.7,,,,,,,,,,,,,,,,
Barbados,198,"17,131","7,004",60,38.5,1. 5,0. 0,100,69.1,,,,,,,,,,,,,,,,
Belarus,"7,561","2,356","1,331",97,3. 0,0. 0,0. 0,100,62.4,,,,,,,,,,,,,,,,
Belgium,"8,350","233,764","119,937",20,27.6,49.2,3. 2,100,65.5,,,,,,,,,,,,,,,,
Belize,182,"9,720",366,95.3,4. 0,0. 7,0. 1,100,96.2,,,,,,,,,,,,,,,,
Benin,"4,581","2,670","1,230",95,4. 9,0. 0,0. 0,100,67.2,,,,,,,,,,,,,,,,
Bolivia,"5,652","4,302","1,342",90.3,9. 4,0. 3,0. 0,100,74.5,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,"2,980","10,579","5,072",70.4,28.8,0. 8,0. 0,100,65.9,,,,,,,,,,,,,,,,
Botswana,"1,159","11,066","3,095",77,21.5,1. 5,0. 0,100,77,,,,,,,,,,,,,,,,
Brazil,"133,355","24,600","5,852",64.8,31.9,3. 1,0. 2,100,81.2,,,,,,,,,,,,,,,,
Brunei  Darussalam,278,"48,995","28,686",25,63.8,11.2,0. 1,100,59.1,,,,,,,,,,,,,,,,
Bulgaria,"6,026","14,873","8,334",57.2,41.6,1. 2,0. 0,100,62.6,,,,,,,,,,,,,,,,
Burkina Faso,"7,472","1,124",506,98.9,1. 1,0. 0,0. 0,100,67.8,,,,,,,,,,,,,,,,
Burundi,"4,605",283,141,100,0. 1,0. 0,0. 0,100,65.3,,,,,,,,,,,,,,,,
Cambodia,"8,867","2,406","1,118",95.6,4. 3,0. 0,0. 0,100,67.1,,,,,,,,,,,,,,,,
Cameroon,"10,178","2,514","1,135",95.4,4. 5,0. 0,0. 0,100,67.3,,,,,,,,,,,,,,,,
Canada,"26,822","227,660","81,610",30,23.8,43.1,3. 1,100,72.8,,,,,,,,,,,,,,,,
Cape Verde,286,"15,041","5,499",67.5,30.4,2. 1,0. 0,100,72.4,,,,,,,,,,,,,,,,
Central African Republic,"2,314",747,233,99.2,0. 8,0. 0,0. 0,100,74.9,,,,,,,,,,,,,,,,
Chad,"5,326","1,057",473,99.1,0. 9,0. 0,0. 0,100,67.6,,,,,,,,,,,,,,,,
Chile,"12,255","44,198","13,073",42.1,50.5,7. 0,0. 3,100,77.4,,,,,,,,,,,,,,,,
China,"987,184","20,452","7,536",60.2,37.5,2. 1,0. 1,100,68.9,,,,,,,,,,,,,,,,
Taiwan,"18,298","131,124","45,451",25,47.4,26.2,1. 4,100,74.9,,,,,,,,,,,,,,,,
Colombia,"29,847","25,064","6,380",61.8,34.1,3. 9,0. 2,100,78.8,,,,,,,,,,,,,,,,
Comoros,378,"2,729",676,94.1,5. 7,0. 1,0. 0,100,78.7,,,,,,,,,,,,,,,,
"Congo,  Dem.  Rep.","30,811",299,121,99.9,0. 1,0. 0,0. 0,100,69.6,,,,,,,,,,,,,,,,
"Congo,  Rep.","1,956","3,654","1,391",91.9,8. 0,0. 1,0. 0,100,71,,,,,,,,,,,,,,,,
Costa Rica,"3,176","26,034","9,190",53,41.8,5. 2,0. 1,100,72.3,,,,,,,,,,,,,,,,
Croatia,"3,497","25,149","12,783",45.3,50.4,4. 3,0. 0,100,65.2,,,,,,,,,,,,,,,,
Cyprus,683,"112,741","40,535",25,53.8,20,1. 3,100,75.3,,,,,,,,,,,,,,,,
Czech Republic,"8,413","40,259","14,820",42.5,51.4,5. 8,0. 3,100,74.3,,,,,,,,,,,,,,,,
Côte d'Ivoire,"11,169","2,313","1,009",95.9,4. 0,0. 0,0. 0,100,68.2,,,,,,,,,,,,,,,,
Denmark,"4,171","214,396","87,121",20,34.8,42.5,2. 8,100,70.1,,,,,,,,,,,,,,,,
Djibouti,494,"3,263","1,506",93.4,6. 5,0. 1,0. 0,100,67.6,,,,,,,,,,,,,,,,
Dominica,49,"23,254","8,518",55,40.5,4. 5,0. 1,100,72.1,,,,,,,,,,,,,,,,
Ecuador,"8,548","11,552","4,243",71.7,27.00,1. 3,0. 0,100,71.5,,,,,,,,,,,,,,,,
Egypt,"51,619","8,214","2,219",88.3,11.00,0. 7,0. 0,100,80.4,,,,,,,,,,,,,,,,
El Salvador,"3,670","11,390","4,361",71.7,27.10,1. 2,0. 0,100,71.1,,,,,,,,,,,,,,,,
Equatorial Guinea,355,"17,355","8,583",56.3,42.10,1. 6,0. 0,100,65.8,,,,,,,,,,,,,,,,
Eritrea,"2,691","1,859",790,97.4,2.60,0. 0,0. 0,100,69,,,,,,,,,,,,,,,,
Estonia,"1,057","27,440","13,801",45,50.00,4. 9,0. 0,100,66,,,,,,,,,,,,,,,,
Ethiopia,"41,342",372,201,99.9,0.10,0. 0,0. 0,100,63.7,,,,,,,,,,,,,,,,
Fiji,516,"5,993","2,609",87.5,12.10,0. 3,0. 0,100,69.1,,,,,,,,,,,,,,,,
Finland,"4,173","145,693","73,487",20,42.80,35.9,1. 4,100,66.2,,,,,,,,,,,,,,,,
France,"47,896","265,463","81,274",17,37.50,40.7,4. 8,100,75.5,,,,,,,,,,,,,,,,
