"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1965",7.163,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1966",6.845,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1967",6.956,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1968",6.837,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1969",6.665,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1970",6.745,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1971",6.807,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1972",6.648,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1973",6.655,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1974",6.819,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1975",7.442,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1976",7.335,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1977",7.205,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1978",7.685,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1979",8.002,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1980",8.152,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1981",7.994,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1982",8.631,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1983",8.827,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1984",9.194,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1985",9.117,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1986",8.848,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1987",8.637,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1988",8.064,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1989",8.042,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1990",7.821,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1991",7.404,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1992",7.401,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1993",7.849,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1994",8.106,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1995",8.207,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1996",8.085,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1997",7.895,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1998",8.056,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","1999",7.811,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2000",8.776,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2001",8.814,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2002",9.091,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2003",8.953,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2004",8.688,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2005",8.414,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2006",8.097,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2007",7.971,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2008",7.473,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2009",7.58,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2010",7.324,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2011",7.096,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2012",7.623,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2013",7.763,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2014",7.327,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2015",7.7,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2016",7.477,
"AUS","TAXGOODSERV","TOT","PC_GDP","A","2017",7.42,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1965",34.713,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1966",34.478,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1967",34.044,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1968",33.569,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1969",32.185,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1970",31.966,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1971",31.152,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1972",31.052,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1973",29.58,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1974",27.677,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1975",29.328,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1976",28.704,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1977",28.342,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1978",31.333,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1979",31.819,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1980",31.1,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1981",30.299,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1982",32.137,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1983",33.807,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1984",33.183,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1985",32.845,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1986",31.006,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1987",30.155,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1988",28.496,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1989",28.706,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1990",27.825,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1991",27.765,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1992",28.32,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1993",29.502,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1994",29.469,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1995",29.015,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1996",27.954,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1997",27.543,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1998",27.372,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","1999",26.209,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2000",28.813,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2001",30.471,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2002",30.507,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2003",29.88,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2004",28.699,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2005",28.07,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2006",27.551,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2007",27.003,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2008",27.855,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2009",29.688,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2010",28.986,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2011",27.411,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2012",28.327,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2013",28.637,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2014",26.862,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2015",27.624,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2016",27.086,
"AUS","TAXGOODSERV","TOT","PC_TOT_TAX","A","2017",26.004,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1965",12.525,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1966",12.732,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1967",12.441,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1968",13.045,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1969",13.016,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1970",12.549,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1971",12.655,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1972",12.796,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1973",12.791,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1974",12.692,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1975",12.543,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1976",12.649,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1977",12.255,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1978",12.265,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1979",12.218,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1980",12.157,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1981",12.476,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1982",12.068,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1983",12.256,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1984",13.194,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1985",13.17,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1986",12.946,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1987",12.917,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1988",12.79,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1989",12.643,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1990",12.384,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1991",12.196,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1992",12.471,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1993",12.231,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1994",12.903,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1995",11.984,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1996",12.371,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1997",12.651,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1998",12.414,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","1999",12.537,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2000",12.238,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2001",12.229,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2002",12.369,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2003",12.235,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2004",12.131,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2005",11.898,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2006",11.465,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2007",11.343,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2008",11.378,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2009",11.688,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2010",11.626,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2011",11.762,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2012",11.889,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2013",11.847,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2014",11.791,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2015",11.808,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2016",11.834,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2017",11.766,
"AUT","TAXGOODSERV","TOT","PC_GDP","A","2018",11.585,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1965",37.377,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1966",37.228,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1967",36.483,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1968",38.199,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1969",37.618,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1970",37.362,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1971",36.939,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1972",36.898,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1973",36.703,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1974",35.429,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1975",34.522,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1976",34.936,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1977",33.529,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1978",31.701,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1979",32.073,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1980",31.517,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1981",31.468,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1982",31.408,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1983",32.158,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1984",33.172,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1985",32.57,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1986",32.093,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1987",32.326,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1988",32.007,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1989",32.464,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1990",31.521,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1991",30.684,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1992",30.209,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1993",29.34,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1994",30.942,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1995",29.038,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1996",29.013,
"AUT","TAXGOODSERV","TOT","PC_TOT_TAX","A","1997",29.123,
