Country,Adults (Thousands),Mean Wealth per Adult,Median Wealth per Adult,"Under 10,000","10,000-100,000","100,000-1 Million",Over 1 Million,wealthGini,incomeGini,Date,Year,GDP in TOT as MLN_USD,GDP in TOT as USD_CAP,INCOMEINEQ in P50P10 as RT,INCOMEINEQ in P90P10 as RT,INCOMEINEQ in P90P50 as RT,INCOMEINEQ in PALMA as RT,INCOMEINEQ in S80S20 as RT,PUBLMPEXP in EMPINCENTIVE as PC_GDP,PUBLMPEXP in INCENTIVE as PC_GDP,PUBLMPEXP in JOBCREATION as PC_GDP,PUBLMPEXP in OOWORKINCOME as PC_GDP,PUBLMPEXP in PRERET as PC_GDP,PUBLMPEXP in PUBEMPSERV as PC_GDP,PUBLMPEXP in SUPPEMP as PC_GDP,PUBLMPEXP in TOT as PC_GDP,PUBLMPEXP in TRAINING as PC_GDP,PUBUNEMPEXP in TOT as PC_GDP,SOCBENHH in INCASH as PC_GDP,SOCBENHH in INKIND as PC_GDP,SOCEXP in PRIV as PC_GDP,SOCEXP in PUB as PC_GDP,SOCEXP in PUB as USD_CAP,SOCEXP in PUBNET as PC_GDP,SOCEXP in TOTNET as PC_GDP,TAXCORP in TOT as PC_GDP,TAXCORP in TOT as PC_TOT_TAX,TAXGOODSERV in TOT as PC_GDP,TAXGOODSERV in TOT as PC_TOT_TAX,TAXINCOME in TOT as PC_GDP,TAXINCOME in TOT as PC_TOT_TAX,TAXPAYROLL in TOT as PC_GDP,TAXPAYROLL in TOT as PC_TOT_TAX,TAXPROPERTY in TOT as PC_GDP,TAXPROPERTY in TOT as PC_TOT_TAX,TAXREV in TOT as MLN_USD,TAXREV in TOT as PC_GDP,TAXSS in TOT as PC_GDP,TAXSS in TOT as PC_TOT_TAX,TAXWEDGE in TOT as PC_LC,Region,wealthTax
Australia,18655,386058,181361,6.7,27.6,59.4,6.3,65.6,NA,2019-09-29,2019,1419808.2414,55961.855719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.945726,Oceania,0
Austria,7092,274919,94070,22.9,28.3,44.5,4.4,73.9,NA,2019-09-29,2019,524728.474,59120.2916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8187258101455,12.2151998009244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.908305,EU,0
Belgium,8913,246135,117093,0,45.1,51.8,3.1,60.3,NA,2019-09-29,2019,626399.3245,54545.395722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9995842185687,15.1418000693744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.242228,EU,1
Canada,29136,294255,107004,20.4,28.4,46.7,4.5,72.8,NA,2019-09-29,2019,1929897.1481,51341.714241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.043474977147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.469235,Americas,0
Chile,13331,56972,19231,38.6,52.4,8.6,0.5,79.8,NA,2019-09-29,2019,476738.3802,25040.966626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.045012,Americas,0
Colombia,34254,16411,5325,68.3,29.7,1.9,0.1,77,NA,2019-09-29,2019,787496.7311,16100.626884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Americas,0
Czech Republic,8509,64663,20854,23.3,66.9,9.3,0.5,72.5,NA,2019-09-29,2019,461993.7189,43301.123753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5101348010359,11.0458937757859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.94102,EU,0
Denmark,4475,284022,58784,35.8,20.6,38.3,5.3,83.8,NA,2019-09-29,2019,347078.2207,59645.68151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.74744463374,17.0983455737898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.433908,EU,0
Estonia,1028,78458,24915,23.5,61,14.8,0.7,71.6,NA,2019-09-29,2019,51486.4415,38863.557864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.522898214021,11.40305750458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.245262,EU,0
Finland,4341,183124,55532,19,43.8,34.8,2.4,74.2,NA,2019-09-29,2019,283888.888,51414.2437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1853397645765,15.2887811461275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.926257,EU,0
